# Βασικό αρχείο ονομαστικών εορτών και επετείων
# Είναι παρμένο σχεδόν αυτούσιο από την wind*ze έκδοση
# του "Εορτολογίου" του Χάρη Κακουλίδη (www.harka.com).

+0 Πασχάλης
+0 Πασχαλίνα
+0 Αναστάσιος
+0 Αναστασία
+0 Λαμπρινή
+0 Λάμπρος
+50 Τριάδα
+50 Κορίνα
+49 Πεντηκοστή
+39 Νεφέλη
+4 Γεώργιος
+4 Γεωργία
+5 Ζωή
+5 Πηγή
+7 Θωμάς
+7 Θωμαή
-8 Λάζαρος
-7 Βάιος
16/8 Διομήδης
18/8 Φλώρα
25/8 Τίτος
25/8 Επιφάνιος
26/8 Ανδριανός
26/8 Ανδριανή
26/8 Ναταλία
26/8 Βίκτωρας
27/8 Φανούριος
29/8 Γιάννης
29/8 Γιάννα
30/8 Αλέξανδρος
1/9 Αθηνά
1/9 Συμεών
1/9 Θάλεια
1/9 Ευτέρπη
1/9 Ερατώ
1/9 Ασπασία
1/9 Αφροδίτη
1/9 Κλεοπάτρα
1/9 Κοραλία
1/9 Μελπομένη
1/9 Πηνελόπη
1/9 Δωδώνη
1/9 Ουρανία
1/9 Μαργαρίτα
1/9 Αντιγόνη
1/9 Σαπφώ
4/9 Ερμιόνη
3/9 Πολύδωρας
3/9 Φοίβος
3/9 Άνθιμος
5/9 Ζαχαρίας
5/9 Ζαχαρούλα
6/9 Βίβος
6/9 Ευδόξιος
7/9 Κασσιανή
7/9 Σώζων
8/9 Τσαμπίκος
8/9 Τσαμπίκα
9/9 Ιωακείμ
10/9 Πουλχερία
11/9 Ευανθία
13/9 Αριστείδης
13/9 Κορνήλιος
14/9 Σταύρος
14/9 Σταυρούλα
15/9 Νικήτας
17/9 Σοφία
17/9 Ελπίδα
17/9 Αγάπη
18/9 Αριάδνη
20/9 Στάθης
21/9 Ματθαίος
24/9 Θέκλα
25/9 Φρόσω
25/9 Ευφροσύνη
26/9 Αργύρης
26/9 Αργυρώ
29/9 Κυριάκος
29/9 Κυριακή
1/10 Θηρεσία
2/10 Κυπριανός
3/10 Διονύσης
3/10 Διονυσία
5/10 Χαριτίνη
7/10 Πολυχρόνιος
8/10 Πελαγία
9/10 Αβραάμ
10/10 Ευλάμπιος
10/10 Ευλαμπία
15/10 Λουκιανός
15/10 Μαργαρίτα
18/10 Λουκάς
20/10 Άρτεμις
20/10 Γεράσιμος
21/10 Σωκράτης
21/10 Ούρσουλα
22/10 Γλυκερία
23/10 Ιάκωβος
23/10 Ιακωβίνα
26/10 Δημήτριος
26/10 Δήμητρα
27/10 Νέστορας
28/10 "Επέτειος του ΟΧΙ"
28/10 Σίμωνας
30/10 Ζηνώβιος
30/10 Ζηνωβία
1/11 Ανάργυρος
1/11 Αργυρώ
1/11 Αργύριος
1/11 Δαμιανός
1/11 Κοσμάς
2/11 Δόμνα
6/11 Λεονάρδος
7/11 Επιφάνιος
8/11 Μιχάλης
8/11 Άγγελος
8/11 Αγγελική
8/11 Αγγέλα
8/11 Γαβριήλ
8/11 Γαβριέλλα
8/11 Σταμάτης
8/11 Σταματία
9/11 Νεκτάριος
11/11 Βίκτωρας
11/11 Βικτωρία
11/11 Μηνάς
14/11 Φίλιππος
14/11 Φιλιππία
14/11 Ελπίδα
16/11 Ματθαίος
16/11 Ιφιγένεια
18/11 Πλάτωνας
21/11 Μάριος
23/11 Μερόπη
24/11 Φλώρα
25/11 Κατερίνα
25/11 Μερκούρης
26/11 Στέλλιος
26/11 Στέλλα
27/11 Ιάκωβος
30/11 Ανδρέας
30/11 Ανδριανή
1/12 Φιλαρέτη
3/12 Δόμνα
4/12 Βαρβάρα
4/12 Δαμασκηνός
5/12 Σάββας
5/12 Διογένης
5/12 Ελισάβετ
6/12 Νίκος
6/12 Νικολέττα
7/12 Αμβρόσιος
9/12 Άννα
11/12 Δανιήλ
12/12 Σπύρος
12/12 Σπυριδούλα
13/12 Στράτος
13/12 Λουκάς
13/12 Λουκία
15/12 Ελευθέριος
15/12 Ελευθερία
15/12 Σύλβια
17/12 Δανιήλ
17/12 Ολυμπία
17/12 Διονύσης
17/12 Διονυσία
17/12 Δανάη
18/12 Σεβαστιανός
19/12 Αγλαϊα
19/12 Άρης
20/12 Αναστάσης
